Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	0	1	internal://	InInterests	0	0	0	0
1	0	1	internal://	OutInterests	0	0	0	0
1	0	1	internal://	InData	0	0	0	0
1	0	1	internal://	OutData	0	0	0	0
1	0	1	internal://	InNacks	0	0	0	0
1	0	1	internal://	OutNacks	0	0	0	0
1	0	1	internal://	InSatisfiedInterests	0	0	0	0
1	0	1	internal://	InTimedOutInterests	0	0	0	0
1	0	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	0	1	internal://	OutTimedOutInterests	0	0	0	0
1	0	2	internal://	InInterests	0	0	0	0
1	0	2	internal://	OutInterests	0	0	0	0
1	0	2	internal://	InData	0	0	0	0
1	0	2	internal://	OutData	0	0	0	0
1	0	2	internal://	InNacks	0	0	0	0
1	0	2	internal://	OutNacks	0	0	0	0
1	0	2	internal://	InSatisfiedInterests	0.8	0	1	0
1	0	2	internal://	InTimedOutInterests	0	0	0	0
1	0	2	internal://	OutSatisfiedInterests	0	0	0	0
1	0	2	internal://	OutTimedOutInterests	0	0	0	0
1	0	256	internal://	InInterests	0	0	0	0
1	0	256	internal://	OutInterests	0	0	0	0
1	0	256	internal://	InData	0	0	0	0
1	0	256	internal://	OutData	0	0	0	0
1	0	256	internal://	InNacks	0	0	0	0
1	0	256	internal://	OutNacks	0	0	0	0
1	0	256	internal://	InSatisfiedInterests	0.8	0	1	0
1	0	256	internal://	InTimedOutInterests	0	0	0	0
1	0	256	internal://	OutSatisfiedInterests	0	0	0	0
1	0	256	internal://	OutTimedOutInterests	0	0	0	0
1	0	-1	all	SatisfiedInterests	1.6	0	2	0
1	0	-1	all	TimedOutInterests	0	0	0	0
1	1	1	internal://	InInterests	0	0	0	0
1	1	1	internal://	OutInterests	0	0	0	0
1	1	1	internal://	InData	0	0	0	0
1	1	1	internal://	OutData	0	0	0	0
1	1	1	internal://	InNacks	0	0	0	0
1	1	1	internal://	OutNacks	0	0	0	0
1	1	1	internal://	InSatisfiedInterests	0	0	0	0
1	1	1	internal://	InTimedOutInterests	0	0	0	0
1	1	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	1	1	internal://	OutTimedOutInterests	0	0	0	0
1	1	2	internal://	InInterests	0	0	0	0
1	1	2	internal://	OutInterests	0	0	0	0
1	1	2	internal://	InData	0	0	0	0
1	1	2	internal://	OutData	0	0	0	0
1	1	2	internal://	InNacks	0	0	0	0
1	1	2	internal://	OutNacks	0	0	0	0
1	1	2	internal://	InSatisfiedInterests	0.8	0	1	0
1	1	2	internal://	InTimedOutInterests	0	0	0	0
1	1	2	internal://	OutSatisfiedInterests	0	0	0	0
1	1	2	internal://	OutTimedOutInterests	0	0	0	0
1	1	256	internal://	InInterests	0	0	0	0
1	1	256	internal://	OutInterests	0	0	0	0
1	1	256	internal://	InData	0	0	0	0
1	1	256	internal://	OutData	0	0	0	0
1	1	256	internal://	InNacks	0	0	0	0
1	1	256	internal://	OutNacks	0	0	0	0
1	1	256	internal://	InSatisfiedInterests	0.8	0	1	0
1	1	256	internal://	InTimedOutInterests	0	0	0	0
1	1	256	internal://	OutSatisfiedInterests	0	0	0	0
1	1	256	internal://	OutTimedOutInterests	0	0	0	0
1	1	-1	all	SatisfiedInterests	1.6	0	2	0
1	1	-1	all	TimedOutInterests	0	0	0	0
2	0	1	internal://	InInterests	0	0	0	0
2	0	1	internal://	OutInterests	0	0	0	0
2	0	1	internal://	InData	0	0	0	0
2	0	1	internal://	OutData	0	0	0	0
2	0	1	internal://	InNacks	0	0	0	0
2	0	1	internal://	OutNacks	0	0	0	0
2	0	1	internal://	InSatisfiedInterests	0	0	0	0
2	0	1	internal://	InTimedOutInterests	0	0	0	0
2	0	1	internal://	OutSatisfiedInterests	0.32	0	0	0
2	0	1	internal://	OutTimedOutInterests	0	0	0	0
2	0	2	internal://	InInterests	0	0	0	0
2	0	2	internal://	OutInterests	0	0	0	0
2	0	2	internal://	InData	0	0	0	0
2	0	2	internal://	OutData	0	0	0	0
2	0	2	internal://	InNacks	0	0	0	0
2	0	2	internal://	OutNacks	0	0	0	0
2	0	2	internal://	InSatisfiedInterests	0.16	0	0	0
2	0	2	internal://	InTimedOutInterests	0	0	0	0
2	0	2	internal://	OutSatisfiedInterests	0	0	0	0
2	0	2	internal://	OutTimedOutInterests	0	0	0	0
2	0	256	internal://	InInterests	0	0	0	0
2	0	256	internal://	OutInterests	0	0	0	0
2	0	256	internal://	InData	0	0	0	0
2	0	256	internal://	OutData	0	0	0	0
2	0	256	internal://	InNacks	0	0	0	0
2	0	256	internal://	OutNacks	0	0	0	0
2	0	256	internal://	InSatisfiedInterests	0.16	0	0	0
2	0	256	internal://	InTimedOutInterests	0	0	0	0
2	0	256	internal://	OutSatisfiedInterests	0	0	0	0
2	0	256	internal://	OutTimedOutInterests	0	0	0	0
2	0	257	netdev://[00:00:00:00:00:01]	InInterests	0.8	0.0328125	1	0.0410156
2	0	257	netdev://[00:00:00:00:00:01]	OutInterests	1.6	0.065625	2	0.0820312
2	0	257	netdev://[00:00:00:00:00:01]	InData	0	0	0	0
2	0	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
2	0	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
2	0	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
2	0	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
2	0	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
2	0	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	0	0	0	0
